sample,group,short_reads_1,short_reads_2,short_reads_platform
marine_sample_0,marine,/scratch/phyberos/cami_nfcore_split_reads/marine/marine_sample_0_R1.fastq.gz,/scratch/phyberos/cami_nfcore_split_reads/marine/marine_sample_0_R2.fastq.gz,ILLUMINA
marine_sample_1,marine,/scratch/phyberos/cami_nfcore_split_reads/marine/marine_sample_1_R1.fastq.gz,/scratch/phyberos/cami_nfcore_split_reads/marine/marine_sample_1_R2.fastq.gz,ILLUMINA
marine_sample_2,marine,/scratch/phyberos/cami_nfcore_split_reads/marine/marine_sample_2_R1.fastq.gz,/scratch/phyberos/cami_nfcore_split_reads/marine/marine_sample_2_R2.fastq.gz,ILLUMINA
marine_sample_3,marine,/scratch/phyberos/cami_nfcore_split_reads/marine/marine_sample_3_R1.fastq.gz,/scratch/phyberos/cami_nfcore_split_reads/marine/marine_sample_3_R2.fastq.gz,ILLUMINA
marine_sample_4,marine,/scratch/phyberos/cami_nfcore_split_reads/marine/marine_sample_4_R1.fastq.gz,/scratch/phyberos/cami_nfcore_split_reads/marine/marine_sample_4_R2.fastq.gz,ILLUMINA
marine_sample_5,marine,/scratch/phyberos/cami_nfcore_split_reads/marine/marine_sample_5_R1.fastq.gz,/scratch/phyberos/cami_nfcore_split_reads/marine/marine_sample_5_R2.fastq.gz,ILLUMINA
marine_sample_6,marine,/scratch/phyberos/cami_nfcore_split_reads/marine/marine_sample_6_R1.fastq.gz,/scratch/phyberos/cami_nfcore_split_reads/marine/marine_sample_6_R2.fastq.gz,ILLUMINA
marine_sample_7,marine,/scratch/phyberos/cami_nfcore_split_reads/marine/marine_sample_7_R1.fastq.gz,/scratch/phyberos/cami_nfcore_split_reads/marine/marine_sample_7_R2.fastq.gz,ILLUMINA
marine_sample_8,marine,/scratch/phyberos/cami_nfcore_split_reads/marine/marine_sample_8_R1.fastq.gz,/scratch/phyberos/cami_nfcore_split_reads/marine/marine_sample_8_R2.fastq.gz,ILLUMINA
marine_sample_9,marine,/scratch/phyberos/cami_nfcore_split_reads/marine/marine_sample_9_R1.fastq.gz,/scratch/phyberos/cami_nfcore_split_reads/marine/marine_sample_9_R2.fastq.gz,ILLUMINA
