dataset	sample_id	read_type	reads_path	has_truth	has_binning_gs	reads_bytes
marine	sample_0	short	/scratch/phyberos/cami/work/marine_short_read/simulation_short_read/2018.08.15_09.49.32_sample_0/reads/anonymous_reads.fq.gz	1	1	5173565037
marine	sample_1	short	/scratch/phyberos/cami/work/marine_short_read/simulation_short_read/2018.08.15_09.49.32_sample_1/reads/anonymous_reads.fq.gz	1	1	5173961597
marine	sample_2	short	/scratch/phyberos/cami/work/marine_short_read/simulation_short_read/2018.08.15_09.49.32_sample_2/reads/anonymous_reads.fq.gz	1	1	5173860392
marine	sample_3	short	/scratch/phyberos/cami/work/marine_short_read/simulation_short_read/2018.08.15_09.49.32_sample_3/reads/anonymous_reads.fq.gz	1	1	5171649593
marine	sample_4	short	/scratch/phyberos/cami/work/marine_short_read/simulation_short_read/2018.08.15_09.49.32_sample_4/reads/anonymous_reads.fq.gz	1	1	5172992813
marine	sample_5	short	/scratch/phyberos/cami/work/marine_short_read/simulation_short_read/2018.08.15_09.49.32_sample_5/reads/anonymous_reads.fq.gz	1	1	5173483104
marine	sample_6	short	/scratch/phyberos/cami/work/marine_short_read/simulation_short_read/2018.08.15_09.49.32_sample_6/reads/anonymous_reads.fq.gz	1	1	5172908577
marine	sample_7	short	/scratch/phyberos/cami/work/marine_short_read/simulation_short_read/2018.08.15_09.49.32_sample_7/reads/anonymous_reads.fq.gz	1	1	5172762744
marine	sample_8	short	/scratch/phyberos/cami/work/marine_short_read/simulation_short_read/2018.08.15_09.49.32_sample_8/reads/anonymous_reads.fq.gz	1	1	5175470320
marine	sample_9	short	/scratch/phyberos/cami/work/marine_short_read/simulation_short_read/2018.08.15_09.49.32_sample_9/reads/anonymous_reads.fq.gz	1	1	5173977400
marine_long	sample_0	long	/scratch/phyberos/cami/work/marine_long_read/simulation_long_read/2018.08.08_16.35.17_sample_0/reads/anonymous_reads.fq.gz	1	1	4725859777
marine_long	sample_1	long	/scratch/phyberos/cami/work/marine_long_read/simulation_long_read/2018.08.08_16.35.17_sample_1/reads/anonymous_reads.fq.gz	1	1	4722809131
marine_long	sample_2	long	/scratch/phyberos/cami/work/marine_long_read/simulation_long_read/2018.08.08_16.35.17_sample_2/reads/anonymous_reads.fq.gz	1	1	4764468068
marine_long	sample_3	long	/scratch/phyberos/cami/work/marine_long_read/simulation_long_read/2018.08.08_16.35.17_sample_3/reads/anonymous_reads.fq.gz	1	1	4729843044
marine_long	sample_4	long	/scratch/phyberos/cami/work/marine_long_read/simulation_long_read/2018.08.08_16.35.17_sample_4/reads/anonymous_reads.fq.gz	1	1	4557277984
marine_long	sample_5	long	/scratch/phyberos/cami/work/marine_long_read/simulation_long_read/2018.08.08_16.35.17_sample_5/reads/anonymous_reads.fq.gz	1	1	4700931541
marine_long	sample_6	long	/scratch/phyberos/cami/work/marine_long_read/simulation_long_read/2018.08.08_16.35.17_sample_6/reads/anonymous_reads.fq.gz	1	1	4701371903
marine_long	sample_7	long	/scratch/phyberos/cami/work/marine_long_read/simulation_long_read/2018.08.08_16.35.17_sample_7/reads/anonymous_reads.fq.gz	1	1	4636464741
marine_long	sample_8	long	/scratch/phyberos/cami/work/marine_long_read/simulation_long_read/2018.08.08_16.35.17_sample_8/reads/anonymous_reads.fq.gz	1	1	4707193663
marine_long	sample_9	long	/scratch/phyberos/cami/work/marine_long_read/simulation_long_read/2018.08.08_16.35.17_sample_9/reads/anonymous_reads.fq.gz	1	1	4648750344
plant_associated	sample_0	short	/scratch/phyberos/cami/work/plant_short_read/simulation_short_read/2019.09.27_13.59.10_sample_0/reads/anonymous_reads.fq.gz	1	1	5155033354
plant_associated	sample_1	short	/scratch/phyberos/cami/work/plant_short_read/simulation_short_read/2019.09.27_13.59.10_sample_1/reads/anonymous_reads.fq.gz	1	1	5136750078
plant_associated	sample_2	short	/scratch/phyberos/cami/work/plant_short_read/simulation_short_read/2019.09.27_13.59.10_sample_2/reads/anonymous_reads.fq.gz	1	1	5152852009
plant_associated	sample_3	short	/scratch/phyberos/cami/work/plant_short_read/simulation_short_read/2019.09.27_13.59.10_sample_3/reads/anonymous_reads.fq.gz	1	1	5152043551
plant_associated	sample_4	short	/scratch/phyberos/cami/work/plant_short_read/simulation_short_read/2019.09.27_13.59.10_sample_4/reads/anonymous_reads.fq.gz	1	1	5148282781
plant_associated	sample_5	short	/scratch/phyberos/cami/work/plant_short_read/simulation_short_read/2019.09.27_13.59.10_sample_5/reads/anonymous_reads.fq.gz	1	1	5157311853
plant_associated	sample_6	short	/scratch/phyberos/cami/work/plant_short_read/simulation_short_read/2019.09.27_13.59.10_sample_6/reads/anonymous_reads.fq.gz	1	1	5147883794
plant_associated	sample_7	short	/scratch/phyberos/cami/work/plant_short_read/simulation_short_read/2019.09.27_13.59.10_sample_7/reads/anonymous_reads.fq.gz	1	1	5157305181
plant_associated	sample_8	short	/scratch/phyberos/cami/work/plant_short_read/simulation_short_read/2019.09.27_13.59.10_sample_8/reads/anonymous_reads.fq.gz	1	1	5142258129
plant_associated	sample_9	short	/scratch/phyberos/cami/work/plant_short_read/simulation_short_read/2019.09.27_13.59.10_sample_9/reads/anonymous_reads.fq.gz	1	1	5142084929
plant_associated	sample_10	short	/scratch/phyberos/cami/work/plant_short_read/simulation_short_read/2019.09.27_13.59.10_sample_10/reads/anonymous_reads.fq.gz	1	1	5147555807
plant_associated	sample_11	short	/scratch/phyberos/cami/work/plant_short_read/simulation_short_read/2019.09.27_13.59.10_sample_11/reads/anonymous_reads.fq.gz	1	1	5139281358
plant_associated	sample_12	short	/scratch/phyberos/cami/work/plant_short_read/simulation_short_read/2019.09.27_13.59.10_sample_12/reads/anonymous_reads.fq.gz	1	1	5156815269
plant_associated	sample_13	short	/scratch/phyberos/cami/work/plant_short_read/simulation_short_read/2019.09.27_13.59.10_sample_13/reads/anonymous_reads.fq.gz	1	1	5154946477
plant_associated	sample_14	short	/scratch/phyberos/cami/work/plant_short_read/simulation_short_read/2019.09.27_13.59.10_sample_14/reads/anonymous_reads.fq.gz	1	1	5163604691
plant_associated	sample_15	short	/scratch/phyberos/cami/work/plant_short_read/simulation_short_read/2019.09.27_13.59.10_sample_15/reads/anonymous_reads.fq.gz	1	1	5159797750
plant_associated	sample_16	short	/scratch/phyberos/cami/work/plant_short_read/simulation_short_read/2019.09.27_13.59.10_sample_16/reads/anonymous_reads.fq.gz	1	1	5159437901
plant_associated	sample_17	short	/scratch/phyberos/cami/work/plant_short_read/simulation_short_read/2019.09.27_13.59.10_sample_17/reads/anonymous_reads.fq.gz	1	1	5157734105
plant_associated	sample_18	short	/scratch/phyberos/cami/work/plant_short_read/simulation_short_read/2019.09.27_13.59.10_sample_18/reads/anonymous_reads.fq.gz	1	1	5151148196
plant_associated	sample_19	short	/scratch/phyberos/cami/work/plant_short_read/simulation_short_read/2019.09.27_13.59.10_sample_19/reads/anonymous_reads.fq.gz	1	1	5147487075
plant_associated	sample_20	short	/scratch/phyberos/cami/work/plant_short_read/simulation_short_read/2019.09.27_13.59.10_sample_20/reads/anonymous_reads.fq.gz	1	1	5152216969
plant_associated_long_nano	sample_0	long	/scratch/phyberos/cami/work/plant_long_read_nano/simulation_nanosim/2020.01.23_15.51.11_sample_0/reads/anonymous_reads.fq.gz	1	1	1823567876
plant_associated_long_nano	sample_1	long	/scratch/phyberos/cami/work/plant_long_read_nano/simulation_nanosim/2020.01.23_15.51.11_sample_1/reads/anonymous_reads.fq.gz	1	1	1589210427
plant_associated_long_nano	sample_2	long	/scratch/phyberos/cami/work/plant_long_read_nano/simulation_nanosim/2020.01.23_15.51.11_sample_2/reads/anonymous_reads.fq.gz	1	1	1795096681
plant_associated_long_nano	sample_3	long	/scratch/phyberos/cami/work/plant_long_read_nano/simulation_nanosim/2020.01.23_15.51.11_sample_3/reads/anonymous_reads.fq.gz	1	1	1819415334
plant_associated_long_nano	sample_4	long	/scratch/phyberos/cami/work/plant_long_read_nano/simulation_nanosim/2020.01.23_15.51.11_sample_4/reads/anonymous_reads.fq.gz	1	1	1701578727
plant_associated_long_nano	sample_5	long	/scratch/phyberos/cami/work/plant_long_read_nano/simulation_nanosim/2020.01.23_15.51.11_sample_5/reads/anonymous_reads.fq.gz	1	1	1817547986
plant_associated_long_nano	sample_6	long	/scratch/phyberos/cami/work/plant_long_read_nano/simulation_nanosim/2020.01.23_15.51.11_sample_6/reads/anonymous_reads.fq.gz	1	1	1805579982
plant_associated_long_nano	sample_7	long	/scratch/phyberos/cami/work/plant_long_read_nano/simulation_nanosim/2020.01.23_15.51.11_sample_7/reads/anonymous_reads.fq.gz	1	1	1804240162
plant_associated_long_nano	sample_8	long	/scratch/phyberos/cami/work/plant_long_read_nano/simulation_nanosim/2020.01.23_15.51.11_sample_8/reads/anonymous_reads.fq.gz	1	1	1853556084
plant_associated_long_nano	sample_9	long	/scratch/phyberos/cami/work/plant_long_read_nano/simulation_nanosim/2020.01.23_15.51.11_sample_9/reads/anonymous_reads.fq.gz	1	1	1861222738
plant_associated_long_nano	sample_10	long	/scratch/phyberos/cami/work/plant_long_read_nano/simulation_nanosim/2020.01.23_15.51.11_sample_10/reads/anonymous_reads.fq.gz	1	1	1866216556
plant_associated_long_nano	sample_11	long	/scratch/phyberos/cami/work/plant_long_read_nano/simulation_nanosim/2020.01.23_15.51.11_sample_11/reads/anonymous_reads.fq.gz	1	1	1801002047
plant_associated_long_nano	sample_12	long	/scratch/phyberos/cami/work/plant_long_read_nano/simulation_nanosim/2020.01.23_15.51.11_sample_12/reads/anonymous_reads.fq.gz	1	1	1823555077
plant_associated_long_nano	sample_13	long	/scratch/phyberos/cami/work/plant_long_read_nano/simulation_nanosim/2020.01.23_15.51.11_sample_13/reads/anonymous_reads.fq.gz	1	1	1857115599
plant_associated_long_nano	sample_14	long	/scratch/phyberos/cami/work/plant_long_read_nano/simulation_nanosim/2020.01.23_15.51.11_sample_14/reads/anonymous_reads.fq.gz	1	1	1867786948
