mnxm	ecmdb	name	route	join	conc_mM	n_used	n_all	preferred	log10_spread	log10_range	min_mM	max_mM
MNXM741173	ECMDB00148	L-Glutamate	kegg	accession	86.21414094301707	3	5	True	1.027125067938382	2.759886504331022	0.259	149.0
MNXM741172	ECMDB00148	L-Glutamate	kegg	alias	86.21414094301707	3	5	True	1.027125067938382	2.759886504331022	0.259	149.0
MNXM331	ECMDB00148	L-Glutamate	kegg	alias	86.21414094301707	3	5	True	1.027125067938382	2.759886504331022	0.259	149.0
MNXM95	ECMDB04139	Potassium	kegg	accession	78.50559144452619	3	3	False	0.6453268901504601	1.3699112850717943	9.6	225.0
MNXM27	ECMDB02908	Sodium	kegg	accession	40.37153829746111	3	3	False	0.664907557558748	1.5751878449276613	5.0	188.0
MNXM726710	ECMDB00692	Iron	kegg	accession	17.999999999999996	1	1	False	0.0	0.0	18.0	18.0
MNXM735978	ECMDB04037	Chloride	kegg	accession	16.589595260376196	3	3	False	0.35538309589148587	0.8702087605972879	6.0	44.5
MNXM490899	ECMDB00125	Glutathione	kegg	accession	13.254388388582992	3	4	True	1.0543866849983785	2.5379424917162137	0.051000000000000004	17.6
MNXM3	ECMDB00538	Adenosine triphosphate	kegg	accession	7.10315411008054	3	6	True	0.5201371580222404	1.4927153400685582	0.31	9.64
MNXM37807	ECMDB00538	Adenosine triphosphate	kegg	alias	7.10315411008054	3	6	True	0.5201371580222404	1.4927153400685582	0.31	9.64
MNXM1364497	ECMDB00191	L-Aspartic acid	kegg	accession	6.612569023594504	3	5	True	0.5798294961023128	1.4408530476825965	0.337	9.3
MNXM9	ECMDB01429	Phosphate	kegg	accession	4.999999999999999	1	1	False	0.0	0.0	5.0	5.0
MNXM1107752	ECMDB00094	Citric acid	kegg	accession	4.635138586547328	3	4	True	0.8333086080707968	2.344808920242569	0.099	21.900000000000002
MNXM1104529	ECMDB00290	Uridine diphosphate-N-acetylglucosamine	kegg	accession	4.5003022019271	3	4	True	0.4492954448328911	1.2316726846817199	0.542	9.24
MNXM1101474	ECMDB00285	Uridine triphosphate	kegg	accession	4.279817570906594	3	4	True	0.4003814928497844	1.0970410021455004	0.663	8.290000000000001
MNXM731165	ECMDB00657	Copper	kegg	accession	4.0	1	1	False	0.0	0.0	4.0	4.0
MNXM729215	ECMDB01303	Zinc	kegg	accession	4.0	1	1	False	0.0	0.0	4.0	4.0
MNXM1932	ECMDB01333	Manganese	kegg	accession	4.0	1	1	False	0.0	0.0	4.0	4.0
MNXM737841	ECMDB21390	Molybdenum	kegg	accession	4.0	1	1	False	0.0	0.0	4.0	4.0
MNXM37	ECMDB00641	L-Glutamine	kegg	accession	3.8644159596183165	3	6	True	0.5848795112869002	1.4297873759240323	0.184	4.95
MNXM1819	ECMDB00641	L-Glutamine	kegg	alias	3.8644159596183165	3	6	True	0.5848795112869002	1.4297873759240323	0.184	4.95
MNXM1371191	ECMDB21221	Glutathione disulfide	kegg	accession	3.07603780159995	3	4	True	0.23851386067864053	0.6386080952319977	1.68	7.3100000000000005
MNXM8	ECMDB00902	NAD	kegg	accession	2.9349601283923725	3	6	True	0.313585613666818	0.8161721164307103	0.623	4.08
MNXM727276	ECMDB01423	Coenzyme A	kegg	accession	2.844413391904566	3	3	True	0.22725899432565552	0.5203352857006971	1.37	4.54
MNXM23	ECMDB00243	Pyruvic acid	kegg	accession	2.6916537667389546	2	2	False	0.4757766854642718	0.9515533709285436	0.9	8.05
