mnxm	name	conc_mM	log10_spread	n_sources	sources	n_conditions	citations
MNXM10	NADH	0.11306647614375705	0.21125567611893215	1	ecmdb	3	PMID:  19561621
MNXM10641	alpha,omega-Diamine	1.1849664552859838	1.0370151065765	1	ecmdb	4	Experimentally Determined  Download Details|PMID:  8742354
MNXM1092518	cis-aconitate	0.05708194152013061	0.7781512503836436	1	ecmdb	4	PMID:  19561621
MNXM11	diphosphate	0.5	0.0	1	ecmdb	1	PMID:  6291941
MNXM1101285	GMP	0.04098780306383842	0.4648867983026508	1	ecmdb	2	PMID:  17379776|PMID:  19561621
MNXM1101474	UTP	2.6850187645615726	1.0970410021455004	1	ecmdb	4	PMID:  17379776|PMID:  19561621
MNXM1101868	IMP	0.175316856006489	0.38149046055077895	1	ecmdb	2	PMID:  17379776|PMID:  19561621
MNXM1102128	UDP	0.8312280072278605	0.6662657263081382	1	ecmdb	2	PMID:  17379776|PMID:  19561621
MNXM1102191	CDP	0.14400000000000004	0.0	1	ecmdb	1	PMID:  17379776
MNXM1103086	adenosine 5'-phosphosulfate	0.007000000000000002	0.0	1	ecmdb	1	PMID:  19561621
MNXM1103104	uridine	2.09	0.0	1	ecmdb	1	PMID:  19561621
MNXM1103205	alpha-D-ribose 1-phosphate	0.9738664538401409	0.28424981549909817	1	ecmdb	3	PMID:  19561621
MNXM1103285	GDP	0.0685280161459603	1.5746741908383297	1	ecmdb	5	PMID:  11488613|PMID:  17379776|PMID:  19561621
MNXM1103302	CMP	0.36	0.0	1	ecmdb	1	PMID:  19561621
MNXM1103335	inosine	0.030999999999999996	0.0	1	ecmdb	1	PMID:  17379776
MNXM1103400	guanosine	0.0070710678118654745	1.0969100130080565	1	ecmdb	2	PMID:  17379776|PMID:  19561621
MNXM1103428	ITP	0.2059975728012347	0.004216484401163512	1	ecmdb	2	PMID:  17379776|PMID:  19561621
MNXM1103553	GTP	1.3033895395408213	1.0964643541881351	1	ecmdb	5	PMID:  11488613|PMID:  17379776|PMID:  19561621
MNXM1103718	CTP	1.0551383492258224	0.9859135387213949	1	ecmdb	4	PMID:  17379776|PMID:  19561621
MNXM1103802	acetoacetyl-CoA	0.021999999999999995	0.0	1	ecmdb	1	PMID:  19561621
MNXM1103953	CMP-N-acetyl-beta-neuraminate	0.169	0.0	1	ecmdb	1	PMID:  17379776
MNXM1104065	alpha-D-glucosamine 6-phosphate	0.4648779100328273	0.5610107577352078	1	ecmdb	4	PMID:  17379776|PMID:  19561621
MNXM1104266	acetyl-CoA	0.17722200219226333	1.9626060729241268	1	ecmdb	7	PMID:  11488613|PMID:  15158257|PMID:  19561621|Park, C., Park, C., Lee, Y., Lee, S.Y., Oh, H.B., Lee, J. (2011) Determination of the Intracellular Concentration of Metabolites in Escherichia coli Collected during the Exponential and Stationary Growth Phases using Liquid Chromatography-Mass Spectrometry. Bull Korean Chem. Soc. 32: 524-530.
MNXM1104300	butanoyl-CoA	0.008000000000000004	0.0	1	ecmdb	1	PMID:  17379776
MNXM1104453	5-phospho-alpha-D-ribose 1-diphosphate	0.15481498562935186	0.4384918523635314	1	ecmdb	3	PMID:  19561621
MNXM1104529	UDP-N-acetyl-alpha-D-glucosamine	2.651130342764343	1.2316726846817199	1	ecmdb	4	PMID:  17379776|PMID:  19561621
MNXM1104531	2-methylpropanoyl-CoA	0.008000000000000004	0.0	1	ecmdb	1	PMID:  17379776
MNXM1104545	ADP-beta-D-ribose	0.026000000000000002	0.0	1	ecmdb	1	PMID:  17379776
MNXM1104559	IDP	0.04242640687119287	0.49485002168009395	1	ecmdb	2	PMID:  17379776|PMID:  19561621
MNXM1104774	succinyl-CoA	0.507685009431004	0.7910065710692307	1	ecmdb	3	PMID:  19561621
MNXM1104823	UMP	0.129	0.0	1	ecmdb	1	PMID:  17379776
MNXM1104890	UDP-alpha-D-glucuronate	0.25019295141285336	0.8337383388121975	1	ecmdb	5	Experimentally Determined  Download Details|PMID:  17379776|PMID:  19561621
MNXM1105684	beta-D-glucosamine	0.018999999999999996	0.0	1	ecmdb	1	PMID:  17379776
