gene	iml_gene	n_rxn	rxns	ref_flux_max	wt_relax	fba_relax	wt_force	fba_force	delta_relax	delta_relax_pct	answered_relax	delta_force	delta_force_pct	answered_force	measured_pct_wt	map_route	measured_pct_change	measured_sign	sign_relax	match_relax	sign_force	match_force
aspP	b3034	1	ADPRDP	0.0	0.8966923076922516	0.8966923076920297	0.8966923076153507	0.842846153848864	-2.219335826225688e-13	-2.4750249413172984e-11	False	-0.053846153766486715	-6.00497554280178	True	69.9	b_number	-30.099999999999994	-1	-1		-1	True
cpdB	b4213	8	23PDE2pp,23PDE4pp,23PDE7pp,23PDE9pp,3NTD2pp,3NTD4pp,3NTD7pp,3NTD9pp	0.0	0.8966923076922516	0.8966923076929875	0.8966923076153507		7.358558207215538e-13	8.206335823437246e-11	False			False	31.5	b_number	-68.5	-1	1		0	
cydC	b0886	2	CYSabc2pp,GTHRDabc2pp	0.0	0.8966923076922516	0.8966923076930899	0.8966923076153507	0.8659230769186318	8.383294058944557e-13	9.34913123155924e-11	False	-0.030769230696718886	-3.431414592877025	True	54.8	b_number	-45.2	-1	1		-1	True
cysI	b2763	4	FADRx2,FLVR,FMNRx2,SULR	0.19533692215873305	0.8966923076922516	0.8966923076926084	0.8966923076153507	0.7066138611997783	3.568256801145253e-13	3.9793547580759364e-11	False	-0.19007844641557237	-21.197733581663478	True	41.6	b_number	-58.4	-1	1		-1	True
cysP	b2425	5	MOBDabcpp,SELabcpp,SLNTabcpp,SULabcpp,TSULabcpp	5.525082450889894e-06	0.8966923076922516	0.896692307679438	0.8966923076153507		-1.2813639038711244e-11	-1.4289895127670634e-09	False			False	57.8	b_number	-42.2	-1	-1		0	
ddg	b2378	1	EDTXS3	0.0	0.8966923076922516	0.8966923076920332	0.8966923076153507		-2.183808689437683e-13	-2.4354047321516388e-11	False			False	149.8	b_number	49.80000000000001	1	-1		0	
dos	b1489	3	CDGUNPD,PDE1,PDE4	0.0	0.8966923076922516	0.8966923076926084	0.8966923076153507	0.8351538461549933	3.568256801145253e-13	3.9793547580759364e-11	False	-0.06153846146035735	-6.862829193216987	True	170.1	b_number	70.1	1	1		-1	False
erfK	b1990	5	MLDCP1App,MLDCP1Bpp,MLDCP2App,MLDCP2Bpp,MLDCP3App	0.0	0.8966923076922516	0.8966923076923692	0.8966923076153507	0.17746153845224552	1.1757261830780408e-13	1.3111812970760476e-11	False	-0.7192307691631051	-80.20931628997866	True	269.2	b_number	169.2	1	1		-1	False
glgA	b3429	1	GLCS1	0.8966923076926083	0.8966923076922516	0.8966923076924821	0.8966923076153507	0.8608246153734865	2.304822999121825e-13	2.5703610696221668e-11	False	-0.035867692241864146	-3.999999993002072	True	327.9	b_number	227.89999999999998	1	1		-1	False
glgB	b3432	1	GLBRAN2	0.0	0.8966923076922516	0.8966923076925627	0.8966923076153507	0.8966923076754127	3.1108449149996886e-13	3.469244565068069e-11	False	6.00620664314988e-11	6.698180180805489e-09	False	26.4	b_number	-73.6	-1	1		1	
glgC	b3430	1	GLGC	0.8966923076926083	0.8966923076922516	0.8966923076896868	0.8966923076153507	0.8608246153963102	-2.5648372314890366e-12	-2.860331475453338e-10	False	-0.035867692219040515	-3.9999999904567582	True	453.3	b_number	353.3	1	-1		-1	False
glgP	b3428	2	GLCP,GLCP2	0.0	0.8966923076922516	0.8966923076926084	0.8966923076153507	0.8813076923099951	3.568256801145253e-13	3.9793547580759364e-11	False	-0.01538461530535562	-1.7157072916426843	True	59.8	b_number	-40.2	-1	1		-1	True
gltI	b0655	2	ASPabcpp,GLUabcpp	0.0	0.8966923076922516	0.8966923076936613	0.8966923076153507	0.8832307692198436	1.4096501743665613e-12	1.5720556118011874e-10	False	-0.013461538395507122	-1.5012438805577049	True	28.5	b_number	-71.5	-1	1		-1	True
gntT	b3415	1	GLCNt2rpp	0.0	0.8966923076922516	0.8966923076925516	0.8966923076153507	0.8889999999947511	2.999822612537173e-13	3.345431411425383e-11	False	-0.007692307620599581	-0.8578536422439468	True	42.6	b_number	-57.4	-1	1		-1	True
gor	b3500	1	GTHOr	0.0	0.8966923076922516	0.8966923076926081	0.8966923076153507	0.8966474703980656	3.5649261320713777e-13	3.9756403634666556e-11	False	-4.4837217285098596e-05	-0.005000290166906637	True	60.8	b_number	-39.2	-1	1		-1	True
gpp	b3779	1	GTPDPDP	0.0	0.8966923076922516	0.8966923076895924	0.8966923076153507	0.8736153846132363	-2.659206188582175e-12	-2.9655726560496213e-10	False	-0.02307692300211439	-2.573560942379978	True	49.7	b_number	-50.3	-1	-1		-1	True
hyuA	b2873	1	PHDA	0.0	0.8966923076922516	0.8966923076928421	0.8966923076153507		5.905276267981208e-13	6.585621642254483e-11	False			False	161.0	b_number	61.0	1	1		0	
malP	b3417	5	GLCP,GLCP2,MLTP1,MLTP2,MLTP3	0.0	0.8966923076922516	0.896692307691399	0.8966923076153507		-8.526512829121202e-13	-9.508850199758305e-11	False			False	60.8	b_number	-39.2	-1	-1		0	
metH	b4019	1	METS	0.12183517171955896	0.8966923076922516	0.8966923076927484	0.8966923076153507	0.7145252961263063	4.968248035197576e-13	5.54063862551021e-11	False	-0.18216701148904435	-20.31544264871597	True	47.7	b_number	-52.3	-1	1		-1	True
nagB	b0678	1	G6PDA	0.0	0.8966923076922516	0.8966923076918295	0.8966923076153507	0.8890000000206015	-4.221067939624845e-13	-4.707376101494932e-11	False	-0.007692307594749148	-0.8578536393610813	True	44.7	b_number	-55.3	-1	-1		-1	True
nagD	b0675	7	G3PT,NTD2,NTD4,NTD7,NTD9,PYDXPP,R5PP	0.0	0.8966923076922516	0.8966923076912546	0.8966923076153507	0.8436404907201508	-9.969802761133906e-13	-1.1118421197113226e-10	False	-0.05305181689519989	-5.9163903208097155	True	30.5	b_number	-69.5	-1	-1		-1	True
pfs	b0159	3	5DOAN,AHCYSNS,MTAN	0.00035360527685694124	0.8966923076922516	0.89669230769279	0.8966923076153507		5.383471446407384e-13	6.003699820133857e-11	False			False	68.9	b_number	-31.099999999999994	-1	1		0	
ppk	b2501	2	PPK,PPK2	0.0	0.8966923076922516	0.8966923076926084	0.8966923076153507	0.8813076923092121	3.568256801145253e-13	3.9793547580759364e-11	False	-0.01538461530613855	-1.7157072917299974	True	61.8	b_number	-38.2	-1	1		-1	True
ppx	b2502	2	PPA,PPA2	3.6604672051190903	0.8966923076922516	0.8966923076923365	0.8966923076153507	0.7422736194736861	8.493206138382448e-14	9.471706253665499e-12	False	-0.1544186881416646	-17.220922587406065	True	211.5	b_number	111.5	1	1		-1	False
pspE	b1308	1	CYANSTpp	0.0	0.8966923076922516	0.8966923076932362	0.8966923076153507		9.845457782375888e-13	1.0979750465033417e-10	False			False	160.0	b_number	60.0	1	1		0	
pstC	b3727	1	PIuabcpp	0.0	0.8966923076922516	0.896692307692406	0.8966923076153507	0.8909230769305476	1.5443202272535927e-13	1.7222409671697658e-11	False	-0.005769230684803062	-0.6433902282652186	True	38.6	b_number	-61.4	-1	1		-1	True
