gene	measured_pct_wt	iml_gene	map_route_x	n_rxn_x	n_rxn_y	rxns	ref_flux_max	wt_relax	fba_relax	wt_force	fba_force	delta_relax	delta_relax_pct	answered_relax	delta_force	delta_force_pct	answered_force	map_route_y	measured_pct_change	measured_sign	sign_relax	match_relax	sign_force	match_force	ecspr_channel	ecspr_delta_gg_pct	ecspr_delta_ratio_pct	ecspr_gg_match	ecspr_ratio_match	in_ecspr	in_fba
aspP	69.9	b3034	b_number	1	1.0	ADPRDP	0.0	0.8966923076922516	0.8966923076920297	0.8966923076153507	0.842846153848864	-2.219335826225688e-13	-2.4750249413172984e-11	False	-0.053846153766486715	-6.00497554280178	True	b_number	-30.099999999999994	-1.0	-1.0		-1.0	True	gem	0.003990632351885433	0.003151375635750972	False	False	True	True
clpA	23.4			0																					denovo	5.593749774792599e-09	-9.310448426207322e-08	False	True	True	False
cpdB	31.5	b4213	b_number	8	8.0	23PDE2pp,23PDE4pp,23PDE7pp,23PDE9pp,3NTD2pp,3NTD4pp,3NTD7pp,3NTD9pp	0.0	0.8966923076922516	0.8966923076929875	0.8966923076153507		7.358558207215538e-13	8.206335823437246e-11	False			False	b_number	-68.5	-1.0	1.0		0.0		denovo	1.5996562071580497e-11	-1.4957828368255263e-06	False	True	True	True
csrA	52.7			0																										False	False
csrD	61.8			0																					denovo	5.064239121329289e-09	-1.3434066469671758e-07	False	True	True	False
cydC	54.8	b0886	b_number	2	2.0	CYSabc2pp,GTHRDabc2pp	0.0	0.8966923076922516	0.8966923076930899	0.8966923076153507	0.8659230769186318	8.383294058944557e-13	9.34913123155924e-11	False	-0.030769230696718886	-3.431414592877025	True	b_number	-45.2	-1.0	1.0		-1.0	True	denovo	8.231942608407876e-10	-1.4892070628784781e-08	False	True	True	True
cysI	41.6	b2763	b_number	4	4.0	FADRx2,FLVR,FMNRx2,SULR	0.19533692215873305	0.8966923076922516	0.8966923076926084	0.8966923076153507	0.7066138611997783	3.568256801145253e-13	3.9793547580759364e-11	False	-0.19007844641557237	-21.197733581663478	True	b_number	-58.4	-1.0	1.0		-1.0	True	gem	0.05324160856430862	0.0490393245633277	False	False	True	True
cysP	57.8	b2425	b_number	5	5.0	MOBDabcpp,SELabcpp,SLNTabcpp,SULabcpp,TSULabcpp	5.525082450889894e-06	0.8966923076922516	0.896692307679438	0.8966923076153507		-1.2813639038711244e-11	-1.4289895127670634e-09	False			False	b_number	-42.2	-1.0	-1.0		0.0							False	True
ddg	149.8	b2378	b_number	1	1.0	EDTXS3	0.0	0.8966923076922516	0.8966923076920332	0.8966923076153507		-2.183808689437683e-13	-2.4354047321516388e-11	False			False	b_number	49.80000000000001	1.0	-1.0		0.0		gem	0.00016838884911395726	-0.017851395912432354	True	False	True	True
dos	170.1	b1489	b_number	3	3.0	CDGUNPD,PDE1,PDE4	0.0	0.8966923076922516	0.8966923076926084	0.8966923076153507	0.8351538461549933	3.568256801145253e-13	3.9793547580759364e-11	False	-0.06153846146035735	-6.862829193216987	True	b_number	70.1	1.0	1.0		-1.0	False	gem	1.3580118245164905e-06	-0.0004406253709880435	True	False	True	True
erfK	269.2	b1990	b_number	5	5.0	MLDCP1App,MLDCP1Bpp,MLDCP2App,MLDCP2Bpp,MLDCP3App	0.0	0.8966923076922516	0.8966923076923692	0.8966923076153507	0.17746153845224552	1.1757261830780408e-13	1.3111812970760476e-11	False	-0.7192307691631051	-80.20931628997866	True	b_number	169.2	1.0	1.0		-1.0	False						False	True
exuR	60.8			0																										False	False
galS	38.6			0																										False	False
glgA	327.9	b3429	b_number	1	1.0	GLCS1	0.8966923076926083	0.8966923076922516	0.8966923076924821	0.8966923076153507	0.8608246153734865	2.304822999121825e-13	2.5703610696221668e-11	False	-0.035867692241864146	-3.999999993002072	True	b_number	227.89999999999998	1.0	1.0		-1.0	False	gem	16.45255936656738	11.131628593352435	True	True	True	True
glgB	26.4	b3432	b_number	1	1.0	GLBRAN2	0.0	0.8966923076922516	0.8966923076925627	0.8966923076153507	0.8966923076754127	3.1108449149996886e-13	3.469244565068069e-11	False	6.00620664314988e-11	6.698180180805489e-09	False	b_number	-73.6	-1.0	1.0		1.0		gem	1.9906124236097786	1.2024567630094438	False	False	True	True
glgC	453.3	b3430	b_number	1	1.0	GLGC	0.8966923076926083	0.8966923076922516	0.8966923076896868	0.8966923076153507	0.8608246153963102	-2.5648372314890366e-12	-2.860331475453338e-10	False	-0.035867692219040515	-3.9999999904567582	True	b_number	353.3	1.0	-1.0		-1.0	False	gem	4.981909214033482	4.962387775107694	True	True	True	True
glgP	59.8	b3428	b_number	2	2.0	GLCP,GLCP2	0.0	0.8966923076922516	0.8966923076926084	0.8966923076153507	0.8813076923099951	3.568256801145253e-13	3.9793547580759364e-11	False	-0.01538461530535562	-1.7157072916426843	True	b_number	-40.2	-1.0	1.0		-1.0	True	gem	3.595119630566131	-6.4246032638895665	False	True	True	True
glgS	215.6			0																										False	False
gltI	28.5	b0655	b_number	2	2.0	ASPabcpp,GLUabcpp	0.0	0.8966923076922516	0.8966923076936613	0.8966923076153507	0.8832307692198436	1.4096501743665613e-12	1.5720556118011874e-10	False	-0.013461538395507122	-1.5012438805577049	True	b_number	-71.5	-1.0	1.0		-1.0	True						False	True
gntT	42.6	b3415	b_number	1	1.0	GLCNt2rpp	0.0	0.8966923076922516	0.8966923076925516	0.8966923076153507	0.8889999999947511	2.999822612537173e-13	3.345431411425383e-11	False	-0.007692307620599581	-0.8578536422439468	True	b_number	-57.4	-1.0	1.0		-1.0	True						False	True
gor	60.8	b3500	b_number	1	1.0	GTHOr	0.0	0.8966923076922516	0.8966923076926081	0.8966923076153507	0.8966474703980656	3.5649261320713777e-13	3.9756403634666556e-11	False	-4.4837217285098596e-05	-0.005000290166906637	True	b_number	-39.2	-1.0	1.0		-1.0	True	gem	7.426402258028402e-07	-4.6908992025906044e-08	False	True	True	True
gpp	49.7	b3779	b_number	1	1.0	GTPDPDP	0.0	0.8966923076922516	0.8966923076895924	0.8966923076153507	0.8736153846132363	-2.659206188582175e-12	-2.9655726560496213e-10	False	-0.02307692300211439	-2.573560942379978	True	b_number	-50.3	-1.0	-1.0		-1.0	True	gem	1.1882766571235595e-06	-0.0007384584358594829	False	True	True	True
gspD	40.6			0																										False	False
hokA	32.5			0																					denovo	3.138984419111387e-07	-0.00022643715232621006	False	True	True	False
holC	52.7			0																										False	False
hyuA	161.0	b2873	b_number	1	1.0	PHDA	0.0	0.8966923076922516	0.8966923076928421	0.8966923076153507		5.905276267981208e-13	6.585621642254483e-11	False			False	b_number	61.0	1.0	1.0		0.0		denovo	1.7812765625559069e-12	-3.0848150039994503e-12	True	False	True	True
malP	60.8	b3417	b_number	5	5.0	GLCP,GLCP2,MLTP1,MLTP2,MLTP3	0.0	0.8966923076922516	0.896692307691399	0.8966923076153507		-8.526512829121202e-13	-9.508850199758305e-11	False			False	b_number	-39.2	-1.0	-1.0		0.0		gem	6.943777050263608	1.0908626811061863	False	False	True	True
malT	66.9			0																					denovo	1.8975809641769897e-06	-1.6234071175007475e-05	False	True	True	False
mdtG	196.4			0																										False	False
metH	47.7	b4019	b_number	1	1.0	METS	0.12183517171955896	0.8966923076922516	0.8966923076927484	0.8966923076153507	0.7145252961263063	4.968248035197576e-13	5.54063862551021e-11	False	-0.18216701148904435	-20.31544264871597	True	b_number	-52.3	-1.0	1.0		-1.0	True	gem	8.57472779974437e-05	-0.0003940612850272466	False	True	True	True
mlc	58.8			0																					denovo	0.06659211566454515	0.06257353901670983	False	False	True	False
nagB	44.7	b0678	b_number	1	1.0	G6PDA	0.0	0.8966923076922516	0.8966923076918295	0.8966923076153507	0.8890000000206015	-4.221067939624845e-13	-4.707376101494932e-11	False	-0.007692307594749148	-0.8578536393610813	True	b_number	-55.3	-1.0	-1.0		-1.0	True	gem	0.00013216175962761336	-0.006053863140595301	False	True	True	True
