study	record	relpath	url	bytes	md5
li2019	5596948	memote_china_soil.csv	https://zenodo.org/api/records/5596948/files/memote_china_soil.csv/content	4294053	a0db33b16187a932cd30b78d3750a118
li2019	5596948	MAGs_protein.tar.gz	https://zenodo.org/api/records/5596948/files/MAGs_protein.tar.gz/content	94109137	3b15d719680ad9486c59996da753be4d
li2019	5596948	assemblies.tar.gz	https://zenodo.org/api/records/5596948/files/assemblies.tar.gz/content	1111294467	a6eeeac2a08dd31e853cb6d643683d2e
li2019	5596948	GTDBtk.stats	https://zenodo.org/api/records/5596948/files/GTDBtk.stats/content	141972	f83c2cf4523cb1388d6b54338b5f718b
li2019	5596948	bonus.tar.gz	https://zenodo.org/api/records/5596948/files/bonus.tar.gz/content	303789	bb5a930ac4ffa5198462561e4f16dcca
li2019	5596948	MAGs.tar.gz	https://zenodo.org/api/records/5596948/files/MAGs.tar.gz/content	140366977	b1ebadafcc6c1721ed511f0eecbf1cfd
li2019	5596948	GEMs.tar.gz	https://zenodo.org/api/records/5596948/files/GEMs.tar.gz/content	30842858	a6710dfce062ee404cef9b301da49115
li2019	5596948	mOTUs2.tar.gz	https://zenodo.org/api/records/5596948/files/mOTUs2.tar.gz/content	5625	843505d39809b1226508d0111f80cf58
li2019	5596948	cross_coverage.tar.gz	https://zenodo.org/api/records/5596948/files/cross_coverage.tar.gz/content	121835679	f94e4ff6d4e6c2c59256aa2028528ee8
korem2015	5593111	memote_korem.csv	https://zenodo.org/api/records/5593111/files/memote_korem.csv/content	3756234	60a2067c1cfb86ca9ba9e0dd87086044
korem2015	5593111	grid.stats	https://zenodo.org/api/records/5593111/files/grid.stats/content	6663	5b4f369b03b3593de0618bdf7ca0201c
korem2015	5593111	GEMs.tar.gz	https://zenodo.org/api/records/5593111/files/GEMs.tar.gz/content	26345301	555647613d363c64a6efb609b2c313ac
korem2015	5593111	bonus.tar.gz	https://zenodo.org/api/records/5593111/files/bonus.tar.gz/content	241981	5e1937cd354c23f64b0e0989f4c40016
korem2015	5593111	assemblies.tar.gz	https://zenodo.org/api/records/5593111/files/assemblies.tar.gz/content	176928144	215c98023e47ee636fc7113b80cb9def
korem2015	5593111	GTDBtk.stats	https://zenodo.org/api/records/5593111/files/GTDBtk.stats/content	259288	37ab5a7d2727cbf9d538f22d20c4529e
korem2015	5593111	MAGs_protein.tar.gz	https://zenodo.org/api/records/5593111/files/MAGs_protein.tar.gz/content	95289960	6addaec275217ee3ca9519dc602624cf
korem2015	5593111	MAGs.tar.gz	https://zenodo.org/api/records/5593111/files/MAGs.tar.gz/content	144233574	9a5d402da5144d1f582bef69e0c9dea2
korem2015	5593111	GRiD.tar.gz	https://zenodo.org/api/records/5593111/files/GRiD.tar.gz/content	555181	37455f1d5c2afd5bc945ec72fd92e19e
karlsson2013	5593224	bonus.tar.gz	https://zenodo.org/api/records/5593224/files/bonus.tar.gz/content	12766448	091055be3d899d729153bd353a975649
karlsson2013	5593224	GEMs.tar.gz	https://zenodo.org/api/records/5593224/files/GEMs.tar.gz/content	626313796	092496ae63222fd964bff767be2df02f
karlsson2013	5593224	cross_coverage.tar.gz	https://zenodo.org/api/records/5593224/files/cross_coverage.tar.gz/content	6272405793	2ce182d3fad3ec8cda53e76694d78072
karlsson2013	5593224	assemblies.tar.gz	https://zenodo.org/api/records/5593224/files/assemblies.tar.gz/content	7468740934	923dd655d46fba9411455f6180042daa
karlsson2013	5593224	abundance.stats	https://zenodo.org/api/records/5593224/files/abundance.stats/content	160387	d3686416a3cf32302f27da5a3dd6eb62
karlsson2013	5593224	taxonomy_motus2.stats	https://zenodo.org/api/records/5593224/files/taxonomy_motus2.stats/content	875253	c0d0c79509a5f018aa9d065cbabd203e
karlsson2013	5593224	taxonomy_GTDBtk.stats	https://zenodo.org/api/records/5593224/files/taxonomy_GTDBtk.stats/content	4022213	813ada51a4a44f3679449bd8d7699577
karlsson2013	5593224	MAGs.tar.gz	https://zenodo.org/api/records/5593224/files/MAGs.tar.gz/content	2860630953	586b05f03bdda8308d00c5f6f4fa05ad
karlsson2013	5593224	SMETANA.tar.gz	https://zenodo.org/api/records/5593224/files/SMETANA.tar.gz/content	194079	8ac0ebd5ab9fe71e25ac259bfa3aa4ca
karlsson2013	5593224	MAGs_protein.tar.gz	https://zenodo.org/api/records/5593224/files/MAGs_protein.tar.gz/content	1889700621	6cb24404e85cd3c9acddd1caaaa44279
karlsson2013	5593224	memote_gut_GEMs.csv.gz	https://zenodo.org/api/records/5593224/files/memote_gut_GEMs.csv.gz/content	10601951	13dc3c67a1592ad9de99ab8d535e23b9
karlsson2013	5593224	metadata.txt	https://zenodo.org/api/records/5593224/files/metadata.txt/content	2600	00192bc207cff2b1b09650385a0e25f0
bissett_base	5596972	memote_straya.csv	https://zenodo.org/api/records/5596972/files/memote_straya.csv/content	6652877	8e28f854886a9b139f70017a58bd9cde
bissett_base	5596972	MAGs.tar.gz	https://zenodo.org/api/records/5596972/files/MAGs.tar.gz/content	188578917	b7d28e064cd0bae4110918f3c2cac3ce
bissett_base	5596972	GTDBtk.stats	https://zenodo.org/api/records/5596972/files/GTDBtk.stats/content	112294	63202338d5511e351f4f68f64d817e5e
bissett_base	5596972	stats.tar.gz	https://zenodo.org/api/records/5596972/files/stats.tar.gz/content	443486	b1753ed05af6ffdc7b6166b2c5c3dd25
bissett_base	5596972	GEMs.tar.gz	https://zenodo.org/api/records/5596972/files/GEMs.tar.gz/content	41588240	9066f9cf754867cf06ed60abc29c4736
bissett_base	5596972	cross_coverage.tar.gz	https://zenodo.org/api/records/5596972/files/cross_coverage.tar.gz/content	5489571305	fb356941803ce0e20aff1064e4a18e2e
bissett_base	5596972	assemblies.tar.gz	https://zenodo.org/api/records/5596972/files/assemblies.tar.gz/content	11351370416	a323df75e67434619739af63ff7ced7b
bissett_base	5596972	MAGs_protein.tar.gz	https://zenodo.org/api/records/5596972/files/MAGs_protein.tar.gz/content	121864530	6bb49e08d32e73c8e96beacf1993a992
sunagawa2015	5597227	metagem_tara.csv.gz	https://zenodo.org/api/records/5597227/files/metagem_tara.csv.gz/content	23872668	617f0b3b332bb71fc854407ec4c0b0eb
sunagawa2015	5597227	tara_gems.tar.gz	https://zenodo.org/api/records/5597227/files/tara_gems.tar.gz/content	1456977606	ad236d47d8a88933f06802d736434f11
sunagawa2015	5597227	tara_mags.tar.gz	https://zenodo.org/api/records/5597227/files/tara_mags.tar.gz/content	5376109301	d81ff59614082a29213aa837941d2543
sunagawa2015	5597227	GTDBtk.stats	https://zenodo.org/api/records/5597227/files/GTDBtk.stats/content	7595961	527ca050896d4ff236bb5fa2b78803cd
sunagawa2015	5597227	bonus.tar.gz	https://zenodo.org/api/records/5597227/files/bonus.tar.gz/content	5883044	62e6730896a89474b0493a7e13db01ce
sunagawa2015	5597227	tara_protein.gz.tar	https://zenodo.org/api/records/5597227/files/tara_protein.gz.tar/content	3679256050	314137b91e6a00e78f651fd0eafa84bd
