dataset	relpath	url	bytes	md5	drop
korem2015	PRJEB9718/ERR969467/ERR969467.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969467/ERR969467.fastq.gz	466959666	7560237511e2bbdb20376d30d520edbb	1
korem2015	PRJEB9718/ERR969470/ERR969470.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969470/ERR969470.fastq.gz	778375330	58e76dc78731a1da05a2ca4d44e86e9d	1
korem2015	PRJEB9718/ERR969472/ERR969472.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969472/ERR969472.fastq.gz	423082497	7f3cbde3cd68647bf468b1425ca402e2	1
korem2015	PRJEB9718/ERR969478/ERR969478.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969478/ERR969478.fastq.gz	538012460	93fb063a72e238b192e694c7bed10af6	1
korem2015	PRJEB9718/ERR969482/ERR969482.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969482/ERR969482.fastq.gz	415597647	419498acc3f44f6bfb59c9b9c62b66ca	1
korem2015	PRJEB9718/ERR969484/ERR969484.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969484/ERR969484.fastq.gz	718609639	790d70cfa2e31abb05bfb139452fe319	1
korem2015	PRJEB9718/ERR969490/ERR969490.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969490/ERR969490.fastq.gz	91880467	5c8f97da613e34d57438cfe2e5686986	1
korem2015	PRJEB9718/ERR969499/ERR969499.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969499/ERR969499.fastq.gz	127231612	35a0cdc3cd58cb5603e63fd62ccae7bd	1
korem2015	PRJEB9718/ERR969502/ERR969502.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969502/ERR969502.fastq.gz	113073449	807ac04b546ed8f17a4fd236e32d372c	1
korem2015	PRJEB9718/ERR969464/ERR969464.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969464/ERR969464.fastq.gz	572013702	c9040db60ff1f06732f8ff720330ce1d	1
korem2015	PRJEB9718/ERR969468/ERR969468.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969468/ERR969468.fastq.gz	559134246	f8e1fb2c1191d75f3743ab94a37976f8	1
korem2015	PRJEB9718/ERR969471/ERR969471.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969471/ERR969471.fastq.gz	861988793	efbf92766425013ea909dbdbf8876d2f	1
korem2015	PRJEB9718/ERR969474/ERR969474.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969474/ERR969474.fastq.gz	786668229	07280d86f72fba0c57fc3414bf15076a	1
korem2015	PRJEB9718/ERR969476/ERR969476.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969476/ERR969476.fastq.gz	1687032860	b1ca2c587a153b3e2f82e501b09f1480	1
korem2015	PRJEB9718/ERR969479/ERR969479.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969479/ERR969479.fastq.gz	508884222	f1112c9a68088de6928c4e7cd01bb227	1
