exchange	lower_bound	upper_bound	medium
EX_3mb_e	-100	1000	M8
EX_4abz_e	-100	1000	M8
EX_ac_e	-100	1000	M8
EX_ade_e	-100	1000	M8
EX_ala__L_e	-100	1000	M8
EX_arg__L_e	-100	1000	M8
EX_ascb__L_e	-100	1000	M8
EX_asn__L_e	-100	1000	M8
EX_asp__L_e	-100	1000	M8
EX_btn_e	-100	1000	M8
EX_but_e	-100	1000	M8
EX_ca2_e	-100	1000	M8
EX_cbl1_e	-100	1000	M8
EX_cbl2_e	-100	1000	M8
EX_cellb_e	-100	1000	M8
EX_cit_e	-100	1000	M8
EX_cl_e	-100	1000	M8
EX_cobalt2_e	-100	1000	M8
EX_cu2_e	-100	1000	M8
EX_cys__L_e	-100	1000	M8
EX_fe2_e	-100	1000	M8
EX_fe3_e	-100	1000	M8
EX_fol_e	-100	1000	M8
EX_fru_e	-100	1000	M8
EX_glc__D_e	-100	1000	M8
EX_gln__L_e	-100	1000	M8
EX_glu__L_e	-100	1000	M8
EX_gly_e	-100	1000	M8
EX_gthrd_e	-100	1000	M8
EX_gua_e	-100	1000	M8
EX_h_e	-100	1000	M8
EX_h2o_e	-100	1000	M8
EX_hco3_e	-100	1000	M8
EX_his__L_e	-100	1000	M8
EX_ile__L_e	-100	1000	M8
EX_inost_e	-100	1000	M8
EX_k_e	-100	1000	M8
EX_lcts_e	-100	1000	M8
EX_leu__L_e	-100	1000	M8
EX_lipoate_e	-100	1000	M8
EX_lys__L_e	-100	1000	M8
EX_malt_e	-100	1000	M8
EX_met__L_e	-100	1000	M8
EX_mg2_e	-100	1000	M8
EX_mn2_e	-100	1000	M8
EX_mndn_e	-100	1000	M8
EX_mobd_e	-100	1000	M8
EX_na1_e	-100	1000	M8
EX_nac_e	-100	1000	M8
EX_nad_e	-100	1000	M8
EX_nh4_e	-100	1000	M8
EX_ni2_e	-100	1000	M8
EX_no3_e	-100	1000	M8
EX_phe__L_e	-100	1000	M8
EX_pheme_e	-100	1000	M8
EX_pi_e	-100	1000	M8
EX_pnto__R_e	-100	1000	M8
EX_ppa_e	-100	1000	M8
EX_pro__L_e	-100	1000	M8
EX_pydam_e	-100	1000	M8
EX_pydxn_e	-100	1000	M8
EX_ribflv_e	-100	1000	M8
EX_ser__L_e	-100	1000	M8
EX_slnt_e	-100	1000	M8
EX_so4_e	-100	1000	M8
EX_thm_e	-100	1000	M8
EX_thr__L_e	-100	1000	M8
EX_trp__L_e	-100	1000	M8
EX_tungs_e	-100	1000	M8
EX_tyr__L_e	-100	1000	M8
EX_ura_e	-100	1000	M8
EX_val__L_e	-100	1000	M8
EX_xan_e	-100	1000	M8
EX_zn2_e	-100	1000	M8
